Region,Port,Koordinat,Masuk Alur ,Lebar Alur,Jlh Jembatan,Jenis Port,Pemilik Port,Antri Muat (hari),Jlh Dermaga,Pjg Dermaga,Draft,DWT,Siklus Pasang,Loading Method,Loading Rate (MT/jam),Shipper,,
Sumatera Utara,Kuala Tanjung,"3.360935, 99.449204",Tidak,,0,Umum,Pelindo ,1,,,,,,Pipe Line,150,,,
Sumatera Utara,Belawan,"3.789160568123109, 98.69031057182485",Tidak,,0,Umum,Pelindo ,2,,,,,,Pipe Line,100,,,
Sumatera Barat,Teluk Bayur,"-1.001012, 100.368673",Tidak,,0,Umum,Pelindo ,1,,,,,1 hari 2 kali,Pipe Line,150,,,
Riau,Rengat,"-0.3503309, 102.5166065",Ya,,3,TUKS,,1,,,,,1 hari 2 kali,Pipe Line,150,,,
Riau,Sungai Guntung,"0.155979, 103.165748",Ya,,0,TUKS,,1,,,,,1 hari 2 kali,Pipe Line,150,,,
Riau,Dumai,"1.7410574970912346, 101.37210333258164",Tidak,,0,TUKS,,1,,,,,,Pipe Line,150,,,
Riau,Lubuk Gaung,"1.7410574970912346, 101.37210333258164",Tidak,,0,TUKS,,1,,,,,,Pipe Line,150,,,
Kep. Riau,Pangkal Balam - TL,"-2.088082, 106.130475",Ya,,1,Umum,,4,,,,,,Truck Loosing,50,,,
Kep. Riau,Sadai,"-3.0046465745976767, 106.73832740017517",Tidak,,0,Umum,,1,,,,,,Truck Loosing,30,,,
Kep. Riau,Belinyu,"1°37'47""S 105°43'57""E",Tidak,,0,Umum,,1,,,,,,Pipe Line,150,,,
Kep. Riau,Bintan,"0°51'32""N 104°36'42""E",Tidak,,0,Umum,,2,,,,,,Truck Loosing,50,Tirtamadu,,
Kep. Riau,Batam,"1.0759, 104.1372",Tidak,,0,Umum,,1,,,,,,Pipe Line,150,,,
Kep. Riau,Batam,"1.518302, 103.668730",Tidak,,0,Umum,,1,,,,,,Pipe Line,150,,,
Jambi,Talang Duku,"1°31'11""S 103°40'06""E",Ya,275 M,0,Umum,,2,,,,,,Pipe Line,150,,,
lks,GBS Palembang,"3°02'30""S 104°12'41""E",Ya,300 M,2,TUKS,,2,,,,,,Pipe Line,100,Golden Blossom Sumatra,,
Sumatera Selatan,Boombaru,"-2.987380, 104.815421",Ya,350 M,0,Umum,,2,,,,,,Pipe Line,150,,,
Sumatera Selatan,Boombaru,"-2.987380, 104.815421",Ya,,0,Umum,,2,,,,,,Pipe Line,150,,,
Sumatera Selatan,Tanjung Api-api,"-2.738202, 104.760954",Ya,300 M,0,TUKS,,1,,,,,,Pipe Line,150,,,
Sumatera Selatan,Upang Jaya,"2°48'06""S 104°53'58""E",Ya,,0,TUKS,,1,,,,,,Pipe Line,100,Transpacific Agroindustry,,
Sumatera Selatan,Sei Lilin,"2°38'06""S 104°13'59""E",Ya,300 M,0,TUKS,,1,,,,,,Truck Loosing,30,,,
Bengkulu,Pulau Baai,"-3.905313, 102.307204",Tidak,,,Umum,Pelindo 2,2,,,,,,Truck Loosing,30,,,
Jawa,Tanjung Priok,"-6.101511, 106.886031",Tidak,,0,Umum,,1,,,,,,Truck Loosing,50,,,
Jawa,Marunda,"-6.071094896828234, 106.97015994517413",Tidak,,0,Umum,,2,,,,,,Truck Loosing,50,,,
Jawa,Surabaya,"-7.196667, 112.732778",Tidak,,0,Umum,,1,,,,,,Truck Loosing,50,,,
Kalimantan Barat,Tanjung Pura,"0.497364, 108.905890",Tidak,,0,Umum,Pelindo 2,2,,,,,,Truck Loosing,50,,,
Kalimantan Barat,Wajok,"0.038889, 109.225000",Ya,500 M,0,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,Sintete,"1.1932963, 109.061553",Ya,700 M,0,Umum,,2,,,,,,Truck Loosing,50,,,
Kalimantan Barat,Sukalanting,"-0.28799881181810777, 109.57947044311717",Ya,200 M,2,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,Kubu,"0°25'37""S 109°16'09""E",Ya,150 M,0,TUKS,,2,,,,,,Pipe Line,20,,,
Kalimantan Barat,Air Hitam,"-2.8163769165324397, 110.61899240130003",Ya,50 M,0,TUKS,,1,,,,,,Truck Loosing,30,,,
Kalimantan Barat,Tayan,"-0.042677, 110.066608",Ya,100 M,0,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,Meliau - Sei Mayam,"-0.1067093, 110.2855971",Ya,100 M,1,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,Korek (PLK),"0°00'52""S 109°32'37""E",Ya,100 M,1,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,Rimba Belian,"-2.8187555567773366, 110.62372304896797",Ya,100 M,1,TUKS,,1,,,,,,Truck Loosing,30,,,
Kalimantan Barat,Mensiku,"0°12'51""N 111°33'26""E",Ya,,1,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,Sanggau,"0.11823168129064462, 110.59374548516807",Ya,600 M,1,TUKS,,1,,,,,,Truck Loosing,30,,,
Kalimantan Barat,Sekadau,,Ya,650 M,1,TUKS,,1,,,,,,Truck Loosing,30,,,
Kalimantan Barat,Belitang,"0°00'30.0""S 110°48'22.2""E",Ya,50 M,2,TUKS,,2,,,,,,Truck Loosing,21,,,
Kalimantan Barat,Sintang,"0.1241482852856969, 111.13994073433139",Ya,400 M,1,TUKS,,1,,,,,,Truck Loosing,30,,,
Kalimantan Barat,Nanga Ketungau,"0.080822, 111.429496",Ya,400 M,1,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,Kayong Utara,"0.3554742, 111.6273332",Ya,250 M,1,TUKS,,1,,,,,,Truck Loosing,25,,,
Kalimantan Barat,Sei Matan,,Ya,,1,TUKS,,1,,,,,,Truck Loosing,30,,,
Kalimantan Barat,Kendawangan,"-0.9754806, 110.0895106",Ya,70 M,1,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,Kelampai,"-2.5387629, 110.3509981",Ya,180 M,0,TUKS,,2,,,,,,Truck Loosing,50,,,
Kalimantan Barat,Ketapang,"-2.3121182, 110.3973819",Ya,150 M,0,TUKS,,2,,,,,,Pipe Line,150,,,
