Vessel Code,Vessel Name,Vessel Capacity (MT),Vessel Owner,Vessel Owner Group,Hull Type,Year of Creation,Heating,Lambung Type
MANDALAN,Andalan 02,"2,000",PT. PELAYARAN KENCANA PERMAI JAYA,PKPJ GROUP,Barge,,No,DHDB
MANUGRAH,Anugrah 7,"2,000",Sahabat Kapuas,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MARCTK1,Arcindo TK 1,"3,500",Multi Asia Pacific Line,MULTI ASIA PACIFIC LINE,Barge,,No,DHDB
MGLORY7,As Glory 7,"2,500",Maxima Liners,LMI GROUP,Barge,,No,DHDB
MMARINA10,As Marina 10,"3,000",Maxima Liners,LMI GROUP,Barge,,Yes,DHDB
MMAR12,As Marina 12,"3,000",Maxima Liners,LMI GROUP,Barge,,Yes,DHDB
MMAR2,As Marina 2,"4,000",Maxima Liners,LMI GROUP,Barge,,No,DHDB
MMARSATU,As Marine Satu,"3,250",Kapuas Armada Nusantara,KAN GROUP,Tanker,,No,DHDB
MASIKE,Asike I,"5,000",Korindo,PELAYARAN KORINDO,Tanker,,No,SHDB
MMAJESTY,ASP Majesty,"3,500",PT. ANUGERAH SAMUDERA PRATAMA,ANUGERAH SAMUDERA PRATAMA,Barge,,No,DHDB
MBERLIAN,Berlian Pacific III,"3,200",Berlian Samudera Pacific / Giat Armada Bersama,KAPAL MINI GROUP,Barge,,No,DHDB
MBHSB3,Bintang Mas HSB 3,"2,000",Hengtat Samudera Bahari,HENGTAT,Tanker,,No,DHDB
MBINPER1,Bintang Persada I,"3,000",Duta Persada Kathulistiwa,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MBMB,BMB 01,"3,000",Rona Fortuna,RONA FORTUNA,Barge,,No,SHDB
MCAMAR1,Camar Laut I,"2,500",Berlian Samudera Pacific,BERLIAN GROUP,Barge,,No,SHSB
MCAS,Cas Johannes,,Marindo Sukses Bersama,MARGO GROUP,Tanker,,No,DHDB
MCIPTA3,Cipta Mandiri III,"4,000",Mulia Borneo Mandiri,MULIA BORNEO MANDIRI,Barge,,No,SHSB
MCITRA45,Citra 45001,"4,500",Citra Maritime,CITRA MARITIME,Barge,,No,DHDB
MEMINEN,Eminence VII,"2,500",PT. PRIMA TRANS JAYA,PTJ,Barge,,No,DHDB
MFORT,Fortuna 27,"3,000",Karya Fortuna Shipping,KARYA FORTUNA SHIPPING,Barge,,No,SHSB
MFPS21A,FPS 21A,"5,000",Fangiono Perkasa Sejati,FANGIONO PERKASA SEJATI,Barge,,No,DHDB
MILIR3,Ilir Jaya III,"4,750",PT. PELAYARAN ONI,ONI,Barge,,No,SHSB
MILIR9,Ilir Jaya IX,"3,750",PT. PELAYARAN ONI,ONI,Barge,,No,DHDB
MILIR8,Ilir Jaya VIII,"7,000",PT. PELAYARAN ONI,ONI,Barge,,No,DHDB
MINDO19,Indo Ocean Marine 19,"5,000",PT. TRANS PACIFIC OCEAN,TRANS PACIFIC GROUP,Barge,,No,DHDB
MJULVINDA,Julvinda,"4,000",Mitha Samudra Wijaya,MITSI GROUP,SPOB,,No,DHDB
MKAN4,KAN IV,"3,000",Mangkupalas Utama,MANGKUPALAS UTAMA,Barge,,No,SHSB
MKAPMAR,Kapuas Marine,"3,250",Kapuas Armada Nusantara,KAN GROUP,Tanker,,No,DHDB
MKENC7,Kencana 7,"2,700",PT. SAMUDERA MULIA KARSA,SMK GROUP,Tanker,,No,SHDB
MKENCEX,Kencana Express,"1,000",Gurita Lintas Samudera,GURITA GROUP,Tanker,,No,SHSB
MLUM1,Luminor 1,"4,000",Maxima Liners,LMI GROUP,Barge,,No,DHDB
MLUM10,Luminor 10,"5,000",Maxima Liners,LMI GROUP,Barge,,No,DHDB
MLUM2,Luminor 2,"4,000",PT. ANUGERAH PRIMA SAMUDERA,APS,Barge,,No,DHDB
MLUM6,Luminor 6,"4,000",Maxima Liners,LMI GROUP,Barge,,No,DHDB
MLUM8,Luminor 8,"4,000",Maxima Liners,LMI GROUP,Barge,,No,DHDB
MLUM9,Luminor 9,"4,000",Maxima Liners,LMI GROUP,Barge,,No,DHDB
MMANOG,Manogihon,"4,000",Mitsi Citra Mandiri,MITSI GROUP,Barge,,No,DHDB
MMARAB,Marina Abadi,,PT. PELAYARAN SAHABAT KAPUAS,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MMARVI,Marine Vista,"3,000",Berlian Samudera Pacific,BERLIAN GROUP,Barge,,No,SHSB
MMARINI1,Marini I,"3,000",Lintas Maritim Indonesia,LMI GROUP,Barge,,No,SHDB
MMULIA1,Mulia Karsa 1,"2,200",PT. SAMUDERA MULIA KARSA,SMK GROUP,Tanker,,No,SHSB
MMULIA2,Mulia Karsa 2,"2,700",PT. SAMUDERA MULIA KARSA,SMK GROUP,Tanker,,No,DHDB
MMULIA7,Mulia VII,"3,000",PT. PRIMA TRANS JAYA,PTJ,Barge,,No,DHDB
MMULTI,Multi Asia VI,"4,500",Multi Asia Pacific Line,MULTI ASIA PACIFIC LINE,Barge,,No,DHDB
MOC23237,Ocean Bay 23237,"3,100",PT. QUADRA SAMUDRA PERKASA,QUADRA,Barge,,No,DHDB
MPACSTAR,Pacific Star 1,,CIF,,Barge,,No,
MPALM1,Palm 1,"2,500",Berlian Khatulistiwa Line,BERLIAN GROUP,Barge,,No,SHSB
MPANEN12,Panen Lestari 12,"2,800",Mulia Borneo Mandiri,MULIA BORNEO MANDIRI,Barge,,No,SHSB
MPANGERAN,Pangeran,"1,600",PT. SAMUDERA MULIA KARSA,SMK GROUP,Tanker,,No,SHSB
MPOTENG,Poteng,"3,000",PT. PELAYARAN SAHABAT KAPUAS,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MPRIMA4,Prima Samudra IV,"5,000",Lintas Maritim Indonesia,LMI GROUP,Barge,,No,DHDB
MPRIMA91,Prima Samudra IX,"4,000",Lintas Maritim Indonesia,LMI GROUP,Barge,,No,DHDB
MPRIMA6,Prima Samudra VI,"5,000",Lintas Maritim Indonesia,LMI GROUP,Barge,,No,DHDB
MPRIMA7,Prima Samudra VII,"5,000",Lintas Maritim Indonesia,LMI GROUP,Barge,,No,DHDB
MPRIMA8,Prima Samudra VIII,"4,000",Lintas Maritim Indonesia,LMI GROUP,Barge,,No,DHDB
MPUTGAN,Putra Gandus,"3,000",Payung Samudera,PAYUNG SAMUDERA,Barge,,No,SHSB
MPUTMUS,Putra Musi,"3,500",Payung Samudera,PAYUNG SAMUDERA,Barge,,No,SHSB
MROYAL3,Royal 3,"3,200",Kencana Permai Jaya,PKPJ,Barge,,No,SHDB
MROYAL7,Royal 7,"3,200",Kencana Permai Jaya,PKPJ,Barge,,No,SHDB
MSAHAB4,Sahabat Kapuas IV,"3,500",PT. PELAYARAN SAHABAT KAPUAS,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MSAHAB24,Sahabat Kapuas Mandiri XXIV,,Sahabat Kapuas,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
